Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
W.SZCZESNY,25,2015-2016,ROMA,1,HELLAS VERONA,ROMA,94',1,0,5,1,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,2,ROMA,JUVENTUS,96',1,0,1,1,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,3,FROSINONE,ROMA,96',0,0,6,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,7,PALERMO,ROMA,95',2,0,4,1,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,8,ROMA,EMPOLI,93',1,0,5,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,9,FIORENTINA,ROMA,96',1,0,3,1,0,1,0,0
W.SZCZESNY,25,2015-2016,ROMA,10,ROMA,UDINESE,94',1,0,2,0,1,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,11,INTER,ROMA,96',1,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,12,ROMA,LAZIO,97',0,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,13,BOLOGNA,ROMA,97',2,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,15,TORINO,ROMA,96',1,0,4,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,16,NAPOLI,ROMA,96',0,0,4,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,17,ROMA,GENOA,97',0,0,5,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,18,CHIEVOVERONA,ROMA,96',3,0,5,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,19,ROMA,MILAN,93',1,0,5,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,20,ROMA,HELLAS VERONA,95',1,0,3,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,21,JUVENTUS,ROMA,94',1,0,6,0,1,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,22,ROMA,FROSINONE,94',1,0,3,1,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,23,SASSUOLO,ROMA,96',0,0,5,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,24,ROMA,SAMPDORIA,95',1,0,3,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,25,CARPI,ROMA,95',1,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,26,ROMA,PALERMO,92',0,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,27,EMPOLI,ROMA,97',1,0,3,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,28,ROMA,FIORENTINA,94',1,0,0,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,29,UDINESE,ROMA,93',1,0,2,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,30,ROMA,INTER,94',1,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,31,LAZIO,ROMA,96',1,0,2,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,32,ROMA,BOLOGNA,97',1,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,33,ATALANTA,ROMA,96',3,0,1,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,34,ROMA,TORINO,97',2,0,3,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,35,ROMA,NAPOLI,96',0,0,5,1,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,36,GENOA,ROMA,94',2,0,2,0,0,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,37,ROMA,CHIEVOVERONA,95',0,0,6,0,1,0,0,0
W.SZCZESNY,25,2015-2016,ROMA,38,MILAN,ROMA,93',1,0,4,0,1,0,0,0
