Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.BARZAGLI,15,2015-2016,JUVENTUS,1,JUVENTUS,UDINESE,96',0,0,0,1,0,1,1,0,1,0,0,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,3,JUVENTUS,CHIEVOVERONA,93',0,0,0,0,0,0,0,0,1,1,0,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,4,GENOA,JUVENTUS,96',0,0,0,0,1,0,0,0,1,1,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,5,JUVENTUS,FROSINONE,95',0,0,0,0,0,0,0,0,1,3,3,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,7,JUVENTUS,BOLOGNA,95',0,0,0,0,0,0,1,0,0,1,3,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,8,INTER,JUVENTUS,93',0,0,0,0,0,0,0,0,1,3,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,10,SASSUOLO,JUVENTUS,96',0,0,0,0,0,0,1,0,4,6,0,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,11,JUVENTUS,TORINO,97',0,0,0,0,0,0,0,0,1,0,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,12,EMPOLI,JUVENTUS,95',0,0,0,0,0,0,0,1,3,4,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,13,JUVENTUS,MILAN,94',0,0,0,1,0,0,0,0,1,0,0,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,14,PALERMO,JUVENTUS,94',0,0,0,0,0,0,0,1,0,1,2,1,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,15,LAZIO,JUVENTUS,98',0,0,0,0,0,0,0,0,1,0,5,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,16,JUVENTUS,FIORENTINA,94',0,0,0,0,0,0,1,0,2,0,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,17,CARPI,JUVENTUS,57',0,0,0,0,0,0,0,0,0,2,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,21,JUVENTUS,ROMA,94',0,0,0,0,0,0,2,0,1,3,4,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,22,CHIEVOVERONA,JUVENTUS,92',0,0,0,0,0,0,0,0,0,1,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,23,JUVENTUS,GENOA,96',0,0,0,0,0,0,0,0,2,0,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,24,FROSINONE,JUVENTUS,95',0,0,0,0,0,0,0,0,1,1,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,25,JUVENTUS,NAPOLI,94',0,0,0,0,0,0,0,0,2,5,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,26,BOLOGNA,JUVENTUS,93',0,0,0,0,0,0,0,0,0,2,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,27,JUVENTUS,INTER,97',0,0,0,0,0,0,0,0,0,1,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,28,ATALANTA,JUVENTUS,97',1,0,1,0,1,0,0,0,1,1,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,29,JUVENTUS,SASSUOLO,95',0,0,0,0,0,0,0,1,1,1,0,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,30,TORINO,JUVENTUS,96',0,0,0,0,0,0,0,0,2,0,3,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,31,JUVENTUS,EMPOLI,96',0,0,0,0,0,0,0,0,1,0,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,32,MILAN,JUVENTUS,97',0,0,0,0,0,0,0,0,0,2,2,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,33,JUVENTUS,PALERMO,95',0,0,0,0,0,0,0,1,0,0,1,1,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,34,JUVENTUS,LAZIO,90',0,0,0,0,0,0,0,0,0,1,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,35,FIORENTINA,JUVENTUS,95',0,0,0,0,0,0,1,0,0,1,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,37,HELLAS VERONA,JUVENTUS,72',0,0,0,0,0,0,2,0,0,7,1,0,0,0
A.BARZAGLI,15,2015-2016,JUVENTUS,38,JUVENTUS,SAMPDORIA,90',0,0,0,0,0,0,0,0,0,6,1,0,0,0
