Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
K.MANOLAS,44,2015-2016,ROMA,1,HELLAS VERONA,ROMA,94',0,0,1,1,4,0,0,2,1,2,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,2,ROMA,JUVENTUS,96',0,0,0,0,0,0,0,1,1,1,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,3,FROSINONE,ROMA,96',0,0,0,1,2,0,0,2,2,0,2,0,0,0
K.MANOLAS,44,2015-2016,ROMA,4,ROMA,SASSUOLO,96',0,0,0,1,1,0,0,1,0,1,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,5,SAMPDORIA,ROMA,97',0,1,0,0,0,0,0,3,2,1,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,6,ROMA,CARPI,93',1,0,1,0,1,0,0,1,2,3,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,7,PALERMO,ROMA,95',0,0,0,0,0,0,0,1,1,2,0,1,0,0
K.MANOLAS,44,2015-2016,ROMA,8,ROMA,EMPOLI,93',0,0,0,0,0,0,0,1,1,5,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,9,FIORENTINA,ROMA,96',0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,10,ROMA,UDINESE,70',0,0,0,0,0,1,0,1,2,2,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,11,INTER,ROMA,96',0,0,0,1,1,0,0,2,0,2,2,0,0,0
K.MANOLAS,44,2015-2016,ROMA,12,ROMA,LAZIO,97',0,0,0,0,0,0,0,3,1,3,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,13,BOLOGNA,ROMA,97',0,0,0,0,0,0,0,1,1,2,2,1,0,0
K.MANOLAS,44,2015-2016,ROMA,14,ROMA,ATALANTA,97',0,0,0,1,0,0,0,1,2,3,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,15,TORINO,ROMA,96',0,0,0,0,0,0,0,1,3,1,1,1,0,0
K.MANOLAS,44,2015-2016,ROMA,16,NAPOLI,ROMA,96',0,0,0,1,1,0,0,0,0,2,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,17,ROMA,GENOA,97',0,0,0,0,0,0,0,0,0,2,3,0,0,0
K.MANOLAS,44,2015-2016,ROMA,18,CHIEVOVERONA,ROMA,96',0,0,0,0,0,0,0,2,0,0,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,19,ROMA,MILAN,45',0,0,0,1,0,0,0,1,0,0,0,1,0,0
K.MANOLAS,44,2015-2016,ROMA,20,ROMA,HELLAS VERONA,95',0,0,0,0,0,0,0,1,0,3,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,21,JUVENTUS,ROMA,94',0,0,0,0,0,0,0,1,0,1,3,0,0,0
K.MANOLAS,44,2015-2016,ROMA,22,ROMA,FROSINONE,94',0,0,0,0,0,0,0,2,1,1,1,1,0,0
K.MANOLAS,44,2015-2016,ROMA,24,ROMA,SAMPDORIA,95',0,0,0,0,0,0,0,1,1,2,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,25,CARPI,ROMA,95',0,0,0,0,0,0,0,2,1,3,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,26,ROMA,PALERMO,92',0,0,0,0,0,0,0,3,0,4,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,27,EMPOLI,ROMA,22',0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,28,ROMA,FIORENTINA,94',0,0,0,0,0,0,0,0,1,1,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,29,UDINESE,ROMA,93',0,0,0,0,0,0,0,1,2,3,2,0,0,0
K.MANOLAS,44,2015-2016,ROMA,30,ROMA,INTER,94',0,0,0,0,0,0,0,2,2,2,0,1,0,0
K.MANOLAS,44,2015-2016,ROMA,31,LAZIO,ROMA,96',0,0,0,0,0,0,0,1,1,3,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,32,ROMA,BOLOGNA,97',0,0,0,0,0,0,0,2,3,2,1,0,0,0
K.MANOLAS,44,2015-2016,ROMA,33,ATALANTA,ROMA,96',0,0,0,0,0,0,0,1,1,3,2,1,0,0
K.MANOLAS,44,2015-2016,ROMA,34,ROMA,TORINO,97',1,0,1,1,1,0,0,3,2,1,3,0,0,0
K.MANOLAS,44,2015-2016,ROMA,35,ROMA,NAPOLI,21',0,0,0,0,0,0,0,0,1,1,0,0,0,0
K.MANOLAS,44,2015-2016,ROMA,36,GENOA,ROMA,94',0,0,0,1,0,0,0,1,0,4,3,0,0,0
K.MANOLAS,44,2015-2016,ROMA,37,ROMA,CHIEVOVERONA,95',0,0,0,0,0,0,0,2,1,2,2,0,0,0
K.MANOLAS,44,2015-2016,ROMA,38,MILAN,ROMA,93',0,0,0,0,0,0,0,0,1,2,0,0,0,0
