Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.ISLA,3,2016-2017,CAGLIARI,1,GENOA,CAGLIARI,95',0,0,0,0,0,0,0,1,2,2,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,2,CAGLIARI,ROMA,94',0,0,0,0,0,1,0,2,0,0,3,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,3,BOLOGNA,CAGLIARI,98',0,0,0,0,0,0,1,0,1,3,1,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,4,CAGLIARI,ATALANTA,85',0,0,0,0,0,1,0,0,2,3,3,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,6,CAGLIARI,SAMPDORIA,99',0,0,0,0,0,1,1,5,2,4,4,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,7,CAGLIARI,CROTONE,88',0,0,0,0,0,0,0,1,2,1,3,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,8,INTER,CAGLIARI,25',0,0,1,0,1,0,0,0,0,0,0,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,9,CAGLIARI,FIORENTINA,96',0,0,0,0,0,0,0,0,0,1,5,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,10,LAZIO,CAGLIARI,55',0,0,0,0,0,0,1,0,0,1,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,11,CAGLIARI,PALERMO,95',0,0,0,0,0,0,1,0,1,6,1,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,12,TORINO,CAGLIARI,92',0,0,0,0,0,0,1,2,1,2,4,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,13,CHIEVOVERONA,CAGLIARI,24',0,0,0,0,0,1,1,0,2,0,0,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,14,CAGLIARI,UDINESE,95',0,0,0,0,0,2,0,2,1,7,4,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,15,PESCARA,CAGLIARI,96',0,0,0,0,0,0,0,1,2,2,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,16,CAGLIARI,NAPOLI,94',0,0,0,0,0,0,0,1,0,4,1,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,17,EMPOLI,CAGLIARI,100',0,0,0,0,0,0,1,3,3,1,3,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,19,MILAN,CAGLIARI,98',0,0,0,0,0,1,3,0,0,0,5,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,20,CAGLIARI,GENOA,94',0,0,0,0,0,0,3,0,0,4,1,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,21,ROMA,CAGLIARI,95',0,0,0,1,1,0,1,4,0,1,3,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,22,CAGLIARI,BOLOGNA,94',0,0,0,0,0,0,0,3,0,4,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,23,ATALANTA,CAGLIARI,94',0,0,0,0,0,0,1,0,0,3,7,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,24,CAGLIARI,JUVENTUS,95',0,0,0,1,1,0,1,6,1,3,8,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,25,SAMPDORIA,CAGLIARI,97',1,0,1,0,1,0,0,0,2,0,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,26,CROTONE,CAGLIARI,95',0,0,0,0,0,0,1,0,1,3,4,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,27,CAGLIARI,INTER,91',0,0,0,0,0,0,4,1,2,3,4,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,28,FIORENTINA,CAGLIARI,96',0,0,1,0,0,0,1,0,0,0,5,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,29,CAGLIARI,LAZIO,96',0,0,0,0,0,0,0,0,1,9,3,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,30,PALERMO,CAGLIARI,96',0,0,0,0,0,0,1,1,0,1,1,1,0,0
M.ISLA,3,2016-2017,CAGLIARI,31,CAGLIARI,TORINO,99',0,0,0,0,0,0,1,2,1,2,3,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,32,CAGLIARI,CHIEVOVERONA,95',0,0,0,0,0,1,1,2,0,5,5,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,33,UDINESE,CAGLIARI,94',0,0,0,0,0,1,1,0,1,5,4,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,35,NAPOLI,CAGLIARI,93',0,0,0,0,0,0,0,1,0,4,1,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,36,CAGLIARI,EMPOLI,96',0,0,0,0,0,1,0,2,0,2,2,0,0,0
M.ISLA,3,2016-2017,CAGLIARI,37,SASSUOLO,CAGLIARI,93',0,0,0,0,0,1,1,6,0,3,3,1,0,0
