Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
F.PISACANE,19,2016-2017,CAGLIARI,4,CAGLIARI,ATALANTA,80',0,0,0,0,0,0,0,2,0,1,3,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,6,CAGLIARI,SAMPDORIA,99',0,0,0,0,0,0,0,1,1,2,2,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,7,CAGLIARI,CROTONE,95',0,0,0,0,0,0,0,1,0,0,3,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,8,INTER,CAGLIARI,94',0,0,0,0,0,1,2,2,1,3,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,9,CAGLIARI,FIORENTINA,96',0,0,0,0,0,0,0,4,0,3,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,11,CAGLIARI,PALERMO,95',0,0,0,0,0,0,1,1,1,2,3,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,12,TORINO,CAGLIARI,92',0,0,2,0,2,1,3,1,1,3,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,14,CAGLIARI,UDINESE,95',0,0,0,0,0,0,0,0,0,0,4,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,15,PESCARA,CAGLIARI,96',0,0,0,0,0,0,0,2,2,3,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,16,CAGLIARI,NAPOLI,94',0,0,0,0,0,0,0,1,0,2,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,17,EMPOLI,CAGLIARI,100',0,0,0,1,0,0,0,2,1,1,3,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,18,CAGLIARI,SASSUOLO,69',0,0,0,0,0,0,2,3,1,0,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,19,MILAN,CAGLIARI,98',0,0,0,0,0,0,0,0,0,6,5,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,21,ROMA,CAGLIARI,82',0,0,0,0,0,0,0,1,0,4,9,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,22,CAGLIARI,BOLOGNA,94',0,0,0,1,1,0,1,2,1,2,2,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,23,ATALANTA,CAGLIARI,94',0,0,0,0,0,0,0,4,1,4,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,24,CAGLIARI,JUVENTUS,84',0,0,1,0,1,0,1,0,0,2,2,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,25,SAMPDORIA,CAGLIARI,97',0,0,0,0,0,0,0,1,1,2,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,26,CROTONE,CAGLIARI,95',0,0,0,0,0,0,0,0,1,7,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,27,CAGLIARI,INTER,91',0,0,0,0,0,0,0,1,2,3,0,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,28,FIORENTINA,CAGLIARI,96',0,0,0,0,0,0,0,0,1,1,3,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,29,CAGLIARI,LAZIO,88',0,0,0,0,0,0,0,1,1,3,3,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,30,PALERMO,CAGLIARI,96',0,0,1,0,0,0,0,0,3,3,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,31,CAGLIARI,TORINO,99',0,0,0,0,0,0,0,2,1,6,5,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,34,CAGLIARI,PESCARA,96',0,0,0,0,0,1,2,2,3,6,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,35,NAPOLI,CAGLIARI,93',0,0,0,0,0,0,0,0,0,3,1,0,0,0
F.PISACANE,19,2016-2017,CAGLIARI,36,CAGLIARI,EMPOLI,96',0,0,0,0,0,0,0,2,0,2,1,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,37,SASSUOLO,CAGLIARI,93',0,0,1,1,1,0,0,1,1,4,1,1,0,0
F.PISACANE,19,2016-2017,CAGLIARI,38,CAGLIARI,MILAN,99',1,0,1,0,2,0,0,1,1,6,2,0,0,0
