Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
FELIPE,27,2017-2018,SPAL,5,MILAN,SPAL,71',0,0,0,0,0,0,0,3,0,1,3,0,0,0
FELIPE,27,2017-2018,SPAL,6,SPAL,NAPOLI,67',0,0,0,0,0,0,0,1,0,3,1,0,0,0
FELIPE,27,2017-2018,SPAL,7,SPAL,CROTONE,96',0,0,1,0,1,0,0,2,0,2,2,1,0,0
FELIPE,27,2017-2018,SPAL,8,BOLOGNA,SPAL,97',0,0,1,1,1,0,1,3,3,0,3,0,0,0
FELIPE,27,2017-2018,SPAL,9,SPAL,SASSUOLO,96',0,0,0,1,1,1,1,2,0,3,1,0,0,0
FELIPE,27,2017-2018,SPAL,10,JUVENTUS,SPAL,95',0,0,0,0,0,0,0,0,0,2,3,0,0,0
FELIPE,27,2017-2018,SPAL,11,SPAL,GENOA,95',0,0,0,0,0,0,0,0,0,4,1,1,0,0
FELIPE,27,2017-2018,SPAL,12,ATALANTA,SPAL,96',0,0,0,0,0,0,0,2,0,2,4,1,0,0
FELIPE,27,2017-2018,SPAL,13,SPAL,FIORENTINA,96',0,0,2,0,2,0,0,0,1,5,1,0,0,0
FELIPE,27,2017-2018,SPAL,14,CHIEVOVERONA,SPAL,96',0,0,0,1,0,0,0,3,1,3,1,0,0,0
FELIPE,27,2017-2018,SPAL,15,ROMA,SPAL,9',0,0,0,0,0,0,0,1,0,1,1,0,0,1
FELIPE,27,2017-2018,SPAL,19,SAMPDORIA,SPAL,96',0,0,0,0,0,0,0,2,0,3,4,0,0,0
FELIPE,27,2017-2018,SPAL,20,SPAL,LAZIO,94',0,0,1,0,1,0,0,1,0,0,0,0,0,0
FELIPE,27,2017-2018,SPAL,21,UDINESE,SPAL,98',0,0,0,1,0,0,0,1,0,1,2,1,0,0
FELIPE,27,2017-2018,SPAL,22,SPAL,INTER,96',0,0,0,0,0,0,0,0,0,4,1,0,0,0
FELIPE,27,2017-2018,SPAL,23,CAGLIARI,SPAL,98',0,0,0,0,0,0,0,2,1,3,3,0,0,0
FELIPE,27,2017-2018,SPAL,24,SPAL,MILAN,92',0,0,0,0,0,0,0,0,0,3,0,0,0,0
FELIPE,27,2017-2018,SPAL,25,NAPOLI,SPAL,96',0,0,0,0,0,0,0,1,0,1,7,1,0,0
FELIPE,27,2017-2018,SPAL,27,SPAL,BOLOGNA,95',0,0,0,0,0,0,1,1,0,4,3,1,0,0
FELIPE,27,2017-2018,SPAL,28,SASSUOLO,SPAL,95',0,0,0,0,0,0,0,0,0,3,2,0,0,0
FELIPE,27,2017-2018,SPAL,29,SPAL,JUVENTUS,96',0,0,0,0,0,0,0,2,1,3,2,0,0,0
FELIPE,27,2017-2018,SPAL,30,GENOA,SPAL,97',0,0,0,0,0,1,1,0,2,9,2,0,0,0
FELIPE,27,2017-2018,SPAL,31,SPAL,ATALANTA,95',0,0,0,0,0,0,0,0,0,4,1,0,0,0
FELIPE,27,2017-2018,SPAL,32,FIORENTINA,SPAL,95',0,0,0,0,0,0,0,1,1,4,1,0,0,0
FELIPE,27,2017-2018,SPAL,33,SPAL,CHIEVOVERONA,94',0,0,0,1,1,0,0,2,2,3,4,0,0,0
FELIPE,27,2017-2018,SPAL,34,SPAL,ROMA,96',0,0,0,0,0,0,1,3,1,5,1,0,0,0
FELIPE,27,2017-2018,SPAL,35,HELLAS VERONA,SPAL,99',1,0,2,0,1,1,2,1,0,5,5,0,0,0
FELIPE,27,2017-2018,SPAL,36,SPAL,BENEVENTO,95',0,0,0,0,0,0,0,0,1,3,0,0,0,0
FELIPE,27,2017-2018,SPAL,37,TORINO,SPAL,96',0,0,0,0,0,0,0,0,1,0,3,0,0,0
FELIPE,27,2017-2018,SPAL,38,SPAL,SAMPDORIA,98',0,0,0,0,0,0,0,3,1,2,3,0,0,0
