Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
ROMULO,2,2017-2018,HELLAS VERONA,1,HELLAS VERONA,NAPOLI,95',0,0,0,0,0,0,0,1,0,2,6,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,2,CROTONE,HELLAS VERONA,94',0,0,0,0,0,0,1,0,0,5,6,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,3,HELLAS VERONA,FIORENTINA,47',0,0,1,1,1,0,0,1,0,0,1,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,4,ROMA,HELLAS VERONA,93',0,0,0,0,0,0,0,1,0,6,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,5,HELLAS VERONA,SAMPDORIA,95',0,0,0,2,2,0,1,0,0,4,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,6,HELLAS VERONA,LAZIO,92',0,0,0,0,0,0,2,0,1,2,7,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,7,TORINO,HELLAS VERONA,32',0,0,0,0,0,0,0,0,1,0,1,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,8,HELLAS VERONA,BENEVENTO,97',1,0,2,0,2,0,1,2,0,2,3,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,9,CHIEVOVERONA,HELLAS VERONA,95',0,0,0,0,0,0,3,1,1,1,4,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,10,ATALANTA,HELLAS VERONA,95',0,0,0,0,0,0,0,0,0,4,4,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,11,HELLAS VERONA,INTER,96',0,0,0,0,0,1,3,0,1,3,2,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,12,CAGLIARI,HELLAS VERONA,96',0,0,0,0,0,0,1,0,0,1,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,13,HELLAS VERONA,BOLOGNA,96',0,0,0,0,0,0,4,0,1,0,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,14,SASSUOLO,HELLAS VERONA,95',0,0,1,0,1,1,1,2,0,3,6,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,15,HELLAS VERONA,GENOA,98',0,0,0,1,0,1,4,2,1,1,2,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,16,SPAL,HELLAS VERONA,95',0,0,2,0,1,0,1,0,2,1,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,17,HELLAS VERONA,MILAN,99',0,0,0,0,0,1,1,0,1,4,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,18,UDINESE,HELLAS VERONA,94',0,0,0,0,0,0,1,0,1,2,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,19,HELLAS VERONA,JUVENTUS,94',0,0,0,0,0,0,1,2,0,6,5,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,20,NAPOLI,HELLAS VERONA,96',0,0,0,0,0,0,0,1,0,4,2,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,21,HELLAS VERONA,CROTONE,94',0,0,0,3,2,0,3,0,1,3,6,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,22,FIORENTINA,HELLAS VERONA,92',0,0,1,0,1,1,3,0,5,3,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,23,HELLAS VERONA,ROMA,94',0,0,0,0,0,0,3,1,0,3,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,24,SAMPDORIA,HELLAS VERONA,94',0,0,0,0,0,0,6,2,0,1,4,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,25,LAZIO,HELLAS VERONA,94',0,0,0,0,0,0,2,1,0,4,8,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,26,HELLAS VERONA,TORINO,59',0,0,0,0,0,0,1,1,1,2,2,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,27,BENEVENTO,HELLAS VERONA,94',0,0,0,0,0,1,2,4,0,3,5,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,29,HELLAS VERONA,ATALANTA,96',0,0,0,0,0,0,0,0,0,3,4,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,30,INTER,HELLAS VERONA,95',0,0,0,0,0,0,3,1,0,1,6,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,31,HELLAS VERONA,CAGLIARI,98',1,0,1,0,1,0,2,2,2,2,1,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,32,BOLOGNA,HELLAS VERONA,68',0,0,0,1,1,1,1,1,0,2,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,33,HELLAS VERONA,SASSUOLO,96',0,0,0,0,0,1,2,1,1,3,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,34,GENOA,HELLAS VERONA,96',1,0,2,2,2,1,1,0,1,7,9,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,35,HELLAS VERONA,SPAL,99',0,0,1,0,0,0,0,2,1,6,6,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,36,MILAN,HELLAS VERONA,96',0,0,1,0,1,0,0,2,0,1,3,0,0,0
ROMULO,2,2017-2018,HELLAS VERONA,37,HELLAS VERONA,UDINESE,94',0,0,0,0,0,1,2,3,2,2,5,1,0,0
ROMULO,2,2017-2018,HELLAS VERONA,38,JUVENTUS,HELLAS VERONA,94',0,0,0,0,0,1,3,1,4,2,2,0,0,0
